Codigo_Ruta,Sentido,Total,Origen,Intermedio,Destino,Sin_Geometria_GTFS
KA324,CIRCULAR,1303025,40.0,28.6,31.4,2566
KA332,CIRCULAR,1788984,92.3,7.2,0.6,4403
KB326,CIRCULAR,779519,39.3,19.5,41.2,2190
A332,IDA,9490,81.6,17.0,1.3,14
B314,IDA,1143329,34.4,27.6,38.0,6395
G311,IDA,614795,59.1,40.0,0.9,17
H308,IDA,930691,56.7,31.7,11.6,67
H317,IDA,584578,9.6,33.7,56.7,1249
H318,IDA,1383808,45.2,47.3,7.4,8366
H327,IDA,591835,9.4,47.1,43.6,1316
L312,IDA,1014441,38.6,33.3,28.2,3489
L325,IDA,768483,43.2,31.2,25.5,22425
L328,IDA,600311,42.2,14.5,43.3,7596
L329,IDA,511829,39.9,25.3,34.7,18182
L331,IDA,944029,38.4,29.5,32.1,3085
K308,VUELTA,875816,45.5,29.1,25.3,9319
K311,VUELTA,627613,67.5,20.0,12.5,7982
K312,VUELTA,854529,57.2,29.9,12.9,76
K314,VUELTA,988997,65.2,23.3,11.5,55
K317,VUELTA,568445,26.8,33.5,39.7,76
K318,VUELTA,1112283,34.1,48.4,17.5,156
K325,VUELTA,754766,59.8,34.3,6.0,67
K327,VUELTA,687483,56.8,29.5,13.7,23
K328,VUELTA,465471,74.4,17.2,8.3,66
K329,VUELTA,517197,53.4,25.0,21.6,1563
K331,VUELTA,806586,52.8,31.2,16.0,55
